,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,Harvest Year,Grading Date,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Total Cup Points,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
137,Thailand,Finca de Mojia,2023/2024,OMNiA cafe chiang mai,,omnia cafe,"1,100-1,200",Thailand,Nutchicha Owatwaroj,1,10 kg,2023 / 2024,"October 29th, 2024",Nutchicha Owatwaroj,Catimor,Pulped natural / honey,7.75,8.08,7.58,7.83,7.83,7.75,10.0,10.0,10.0,84.58,0,0.0,yellow-green,2,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
138,Vietnam,LE DUC BINH,"Xary village, Huong Phung commune, Huong Hoa district, Quang Tri province",LE DUC BINH FARM,,SARY COOPERATIVE,700,"KHE SANH, QUẢNG TRỊ PROVICE",LE DUC BINH,1,2 kg,2024 / 2025,"July 14th, 2025",LÊ ĐỨC BÌNH,Catimor,Natural / Dry,8.17,7.75,7.67,7.75,7.58,7.83,10.0,10.0,10.0,84.58,0,0.0,brownish,1,"July 14th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
139,Zambia,Mount Sunzu Coffee Ltd.,N°2,Mount Sunzu Coffee Ltd.,,Mount Sunzu Coffee Ltd.,1600,Northern Province,Mount Sunzu Coffee Ltd.,70,60 kg,2024,"October 28th, 2024",Luca Costa,Sarchimor,Natural / Dry,7.75,7.92,7.75,7.92,7.75,7.75,10.0,10.0,10.0,84.58,0,0.0,yellow-green,5,"October 28th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
140,Taiwan,泥妲咖啡Nita Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,泥妲咖啡Nita Coffee Manor,,Taiwan Coffee Laboratory,400,"Xiulin Township, Hualien County","戴豐秋DAI,FONG-CIOU",1,6 kg,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"Typica, Geisha",Natural / Dry,7.83,8.0,7.92,7.67,7.58,7.75,10.0,10.0,10.0,84.58,0,0.0,yellow green,2,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
141,Taiwan,花囍田咖啡莊園 Hua Xi Tian Manor Café,"2024 Sustainable Specialty Coffee Farm Awards,S017",花囍田咖啡莊園 Hua Xi Tian Manor Café,,Taiwan Coffee Laboratory,880,"雲林縣古坑鄉 Gukeng Township, Yunlin County","林貝珊 LIN, PEI-SHAN",1,8 kg,2023,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"60%SL34,40%Yellow Bourbon",Natural / Dry,7.92,7.75,7.83,7.75,7.67,7.83,10.0,10.0,10.0,84.58,0,0.0,yellow-green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
142,Vietnam,LANG BIANG COFFEE PROJECT,AW1,LANG BIANG COFFEE PROJECT,,Babros Coffee Works,1600,"Lac Duong, Lam Dong",YAMAOKA KIYOTAKA,30,30 kg,2024 / 2025,"May 8th, 2025",BABROS COFFEE WORKS,Catimor,Anaerobic washed,8.08,7.83,7.67,8.0,7.58,7.67,10.0,10.0,10.0,84.58,0,0.0,green,0,"May 8th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
143,Guatemala,Varias Fincas,2025.233.1,Varios Beneficios,11/15/292,Asociación Nacional del Cafe,1600,Huehuetenango,varios productores,600,30 kg,2024 / 2025,"May 2nd, 2025",Evelin Isabel Hernández Paxtor,Caturra,Washed / Wet,7.67,7.92,7.67,7.92,7.75,7.75,10.0,10.0,10.0,84.5,0,1.0,greenish,1,"May 2nd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
144,Thailand,Saenchai Estate,1,wet hulling,,Saenchai estate,1500,กัลยาณิวัฒนา,Saenchai Jupo,1,10 kg,2019 / 2020,"October 29th, 2024",Saenchai Jupo,Bourbon,Washed / Wet,7.83,7.92,7.67,7.83,7.75,7.75,10.0,10.0,10.0,84.5,0,0.0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
145,Thailand,Phu Chee Deun,May Big Lot,Mogoju Bean,,PHU CHEE DEUN COFFEE FARMER,1400,"Phu Chi Duean, Chiang Rai",Phongsathorn Khunta,12,25 kg,2023 / 2024,"October 29th, 2024",Phongsathorn Khunta,Catimor,Washed / Wet,7.92,7.67,7.67,7.83,7.75,7.83,10.0,10.0,10.0,84.5,0,0.0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
146,Guatemala,Finca Peña Blanca y Anexos,11/951/889,Beneficio Las Americas,11/951/889,Asociación Nacional del Cafe,1500,Santa Rosa,Pablo Arturo Chuy Flores,250,35 kg,2024 / 2025,"May 27th, 2025",Evelin Isabel Hernández Paxtor,Catuai,Washed / Wet,7.58,7.83,7.67,7.92,7.75,7.92,10.0,10.0,10.0,84.5,0,5.0,greenish,10,"May 27th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
147,Thailand,Victory coffee,1,แปรรูปแบบเปียกหรือแห้ง,,Victory coffee เทพเสด็จ,1100,ดอยเทพเสด็จ,นายนพเก้า พรหมเมือง,1,10 kg,2024,"October 29th, 2024",ธัญรดา ศรีวิไชย,Catimor,Pulped natural / honey,7.83,8.0,7.5,7.92,7.67,7.83,10.0,10.0,10.0,84.5,0,0.0,green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
148,Thailand,SOFT Coffee,Honey Yeast,Mogojubean,,SOFT Coffee,1200-1300,Omkoi,Wish Junprasert,3,25 kg,2024 / 2025,"August 26th, 2025",Wish Junprasert,Catimor,Pulped natural / honey,7.75,8.0,7.42,7.92,7.83,7.75,10.0,10.0,10.0,84.5,0,0.0,brownish,3,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
149,Taiwan,康家放山咖啡Kang Family Coffee Estate,2025花蓮縣第九屆精品咖啡評鑑批次,康家放山咖啡Kang Family Coffee Estate,,Taiwan Coffee Laboratory,200,"Ruisui Township, Hualien County","康振福KANG,JHEN-FU",1,6 kg,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Caturra,Natural / Dry,7.92,7.75,7.75,7.75,7.67,7.83,10.0,10.0,10.0,84.5,0,0.0,yellow-green,3,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
150,Thailand,YODDOIMAEJANTAI,1,Natural,,YODDOIMAEJANTAI,1300-1500,Chiangrai,Pucha,1,10 kg,2023 / 2024,"November 7th, 2024",PUCHA ARYEE,Bourbon,Natural / Dry,8.0,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,84.5,0,0.0,green,0,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
151,Thailand,RS COFFEE THEPSADEJ,1,แปรรูปเปียกหรือแห้ง,,SCITH,1250,DoiSaket,KUNCHAYA CHANTHIANG,1,10 kg,2023 / 2024,"October 29th, 2024",กุลชญา จันทร์เที่ยง,Catimor,Pulped natural / honey,8.0,8.0,7.58,7.83,7.75,7.58,10.0,10.0,10.0,84.42,0,0.0,green,1,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
152,Thailand,Doi Tung Development Project,DT2024/2025 Paraiso Honey Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,850,"Chiang Rai, Thailand",Doi Tung Development Project,1,30 kg,2024 / 2025,"August 26th, 2025",Tanawit Thirintong,Paraiso,Pulped natural / honey,7.83,7.92,7.83,7.92,7.83,7.83,9.33,10.0,10.0,84.42,0,0.0,greenish/fresh,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
153,Taiwan,瑞穗石柱咖啡Ruisui Stone Column Coffee,2025花蓮縣第九屆精品咖啡評鑑批次,瑞穗石柱咖啡Ruisui Stone Column Coffee,,Taiwan Coffee Laboratory,220,"Ruisui Township, Hualien County","黃聰儒HUANG,CONG-RU",1,6 kg,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Pulped natural / honey,7.67,7.83,7.75,7.83,7.75,7.75,10.0,10.0,10.0,84.42,0,0.0,bluish-green,0,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
154,Brazil,Ofi - Olam Food Ingredients,S040263-2,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,2025,"September 29th, 2025",ADRYELLI CRISTINA SILVA,Catuai,Natural / Dry,7.75,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.42,0,0.0,green,2,"September 29th, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
155,Guatemala,Finca Peña Blanca y Anexos,11/951/889,Beneficio Las Américas,11/951/889,Asociación Nacional del Cafe,1500,Santa Rosa,Pablo Arturo Chuy Flores,250,35 kg,2024 / 2025,"June 2nd, 2025",Evelin Isabel Hernández Paxtor,Catuai,Washed / Wet,7.75,8.0,7.58,7.83,7.75,7.75,10.0,10.0,10.0,84.42,0,3.0,greenish,6,"June 2nd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
156,Thailand,Akha Le,1,Akha Le,,PC89 Coffee,1400,Thailand,Phichit,2,1000 kg,2023 / 2024,"October 29th, 2024",Phichit Bunyuenphanakun,Catimor,Natural / Dry,8.0,8.0,7.58,7.92,7.58,7.58,10.0,10.0,10.0,84.42,0,0.0,yellowish,3,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
157,Indonesia,Edwin Lubis,-,dry mill,,,1300,Marancar,Edwin Lubis,1,2 kg,2024,"December 27th, 2024",Edwin Lubis,Sumatra,Pulped natural / honey,7.92,7.92,7.5,8.08,7.58,7.58,10.0,10.0,10.0,84.42,0,0.0,pale yellow,1,"December 27th, 2025",5758 Coffee Lab,"Rusa Pinus Raya E1-D, Jl. Pinus Raya Barat, Gegerkalong, Kota Bandung, Jawa Barat 40153, Indonesia",Adi W. Taroepratjeka - +62-8122021163
158,Thailand,ไร่ดินดี tea&coffee,1,Dry,,Rai Dindee Tea&Coffee,1350,Ban Doi-Ngam,Hassadin Merlae,2,10 kg,2022 / 2023,"November 7th, 2024",Hassadin Merlae,Catimor,Natural / Dry,7.75,7.92,7.75,7.92,7.58,7.75,10.0,10.0,10.0,84.42,0,0.0,yellow - green,0,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
159,Taiwan,COFEE BERRIES MANOR,C210,COFEE BERRIES MANOR,,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.0,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,84.42,0,1.0,bluish-green,5,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
160,Brazil,Ofi - Olam Food Ingredients,S040263-6,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1280,76800 kg,2025,"September 22nd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Natural / Dry,7.83,7.83,7.5,7.75,7.75,7.75,10.0,10.0,10.0,84.33,0,0.0,green,2,"September 22nd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
161,Taiwan,靜心恬咖啡莊園,902 Typica,益豐機械咖啡豆去皮脫殼機剝殼機兩用設備 100型,,靜心恬咖啡農莊,400,復興區義興部落,歐恩萍,1,5 kg,2024 / 2025,"March 19th, 2025",靜心恬咖啡農莊,Typica,Natural / Dry,7.92,7.92,7.83,7.58,7.75,7.67,10.0,10.0,10.0,84.33,0,0.0,yellow-green,2,"March 19th, 2026",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
162,Taiwan,高峰咖啡（Gaofeng Coffee）,2025臺南市國產精品咖啡評鑑批次,高峰咖啡（Gaofeng Coffee）,,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","陳斐雯(Chen,Fei-Wen)",1,5 kg,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.17,7.92,8.0,7.75,7.75,7.42,10.0,10.0,10.0,84.33,0,0.0,greenish,0,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
163,Colombia,La fortaleza,3-0104-00206 Popayán Supremo,Trilladora Pubenza,3-0104-00206,Cafe Colsuaves,1700,Popayán Cauca,La fortaleza,600,30 kg,2024,"December 5th, 2024",pablo velosa,Castillo/Caturra,Washed / Wet,7.83,7.75,7.67,7.92,7.83,7.67,10.0,10.0,10.0,84.33,0,2.0,green,3,"December 5th, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
164,Taiwan,奕品咖啡農園（Yipin Coffee Farm）,2025臺南市國產精品咖啡評鑑批次,奕品咖啡農園（Yipin Coffee Farm）,,Taiwan Coffee Laboratory,680,"臺南市東山區 Dongshan Dist., Tainan City","葉丁財(Yeh,Ting-Tsai)",1,5 kg,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,7.92,7.83,7.75,7.67,7.75,7.75,10.0,10.0,10.0,84.33,0,1.0,greenish,0,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
165,Thailand,SOFT Coffee,Wash Carbonic,"Mogoju Bean co.,ltd.",,SOFT Coffee,1200,"Omkoi,Chiangmai,Thailand",Ms.Radchadaporn Junprasert,2,25 kg,2023 / 2024,"October 29th, 2024",Radchadaporn,"Catimor ,Typica, Bourbon",Wash Carbonic Process,8.0,8.17,8.08,8.08,7.92,8.0,8.0,10.0,10.0,84.33,0,0.0,green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
166,Taiwan,花蓮縣秀林鄉特用作物(咖啡產銷第一班The first group of special use in Xiulin Township,2025花蓮縣第九屆精品咖啡評鑑批次,花蓮縣秀林鄉特用作物(咖啡產銷第一班The first group of special use in Xiulin Township,,Taiwan Coffee Laboratory,200~400,"Xiulin Township, Hualien County","李志祥LI,JHIH-SIANG",1,6 kg,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Pulped natural / honey,7.75,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,84.33,0,0.0,greenish,2,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
167,Taiwan,林鴻任,C07,林鴻任,,Taiwan Coffee Laboratory,1300,嘉義/阿里山鄉,林鴻任,1,2 kg,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.83,10.0,10.0,10.0,84.33,0,0.0,blue-green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
168,Thailand,Akha Le,1,Akha Le,,PC89 Coffee,1400,Thailand,Phichit,2,1000 kg,2023 / 2024,"October 29th, 2024",Phichit Bunyuenphanakun,Catimor,Pulped natural / honey,7.67,7.92,7.58,8.0,7.67,7.58,10.0,10.0,10.0,84.25,0,0.0,green,3,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
169,Vietnam,Cơ sở sản xuất Cà phê Bana'A,A789,Cơ sở sản xuất Cà phê Bana'A,,banaa company,1330,Tu mơ rông - Kon Tum,Nguyễn Thị Thùy Anh,3000,1 kg,2024 / 2025,"July 9th, 2025",NGUYEN THI THUY ANH,THA1,Natural / Dry,7.83,7.75,7.75,7.83,7.58,7.67,10.0,10.0,10.0,84.25,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
170,Taiwan,花蓮縣秀林鄉特用作物(咖啡產銷第一班)The first group of special use in Xiulin Township,2025花蓮縣第九屆精品咖啡評鑑批次,花蓮縣秀林鄉特用作物(咖啡產銷第一班)The first group of special use in Xiulin Township,,Taiwan Coffee Laboratory,200~400,"Xiulin Township, Hualien County","李志祥LI,JHIH-SIANG",1,6 kg,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Natural / Dry,7.67,7.83,7.67,7.92,7.67,7.67,10.0,10.0,10.0,84.25,0,0.0,yellow green,1,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
171,Taiwan,鄉庭有機咖啡莊園Siang-Ting Organic Farm,2025花蓮縣第九屆精品咖啡評鑑批次,鄉庭有機咖啡莊園Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-170,"Shoufeng Township, Hualien County","張進義JHANG,JIN-YI",1,6 kg,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Pulped natural / honey,7.83,7.67,7.83,7.67,7.67,7.75,10.0,10.0,10.0,84.25,0,0.0,greenish,0,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
172,Japan,kakamigaharafarm,2024-2025bourbon,same facility,,tyuubujimuki,34,gifu,tyuubujimuki,1,6 kg,2024 / 2025,"September 4th, 2025",中部事務機株式会社,Bourbon,anaerobic,7.75,7.83,7.75,7.75,7.67,7.75,10.0,10.0,10.0,84.25,0,0.0,green,2,"September 4th, 2026",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -
173,Taiwan,優遊吧斯瑪翡咖啡莊園 Yuyupas Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S061",優遊吧斯瑪翡咖啡莊園 Yuyupas Coffee Manor,,Taiwan Coffee Laboratory,1200,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","鄭虞坪 JHENG,YU-PING",1,8 kg,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,7.83,7.83,7.67,7.83,7.58,7.75,10.0,10.0,10.0,84.25,0,0.0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
174,Taiwan,富咖有機農場,C109,富咖有機農場,,Taiwan Coffee Laboratory,1200,"嘉義梅山, Meishan, Chiayi",楊仙美,1,2 kg,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Washed / Wet,7.75,7.75,7.75,7.75,7.75,7.75,10.0,10.0,10.0,84.25,0,0.0,blue-green,0,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
175,Thailand,Chatchai Organic Coffee Farming,1,Dry Mill,,Chatchai Organic Coffee Farming,1500,Nortren,Chatchai Khabu,10,30 kg,2023 / 2024,"November 7th, 2024",Chatchai,Typica,Washed / Wet,7.92,7.83,7.67,7.67,7.67,7.83,10.0,10.0,10.0,84.25,0,0.0,,0,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
176,Thailand,Vipada Thiraras,1,,,SCITH,1250,"Pha Lung, Chiang Rai",Vipada Thiraras,1,10 kg,2024,"October 29th, 2024",Thanyavit Kuakunrittiwong,Catimor,Pulped natural / honey,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,84.25,0,0.0,pale-yellow,1,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
177,Vietnam,Hợp tác xã Mộc Sa Farm,A561,Hợp tác xã Mộc Sa Farm,,Hợp tác xã Mộc Sa Farm,1050,"Xã Bản Lầm, Huyện Thuận Châu, Tỉnh Sơn La",Lương Trung Hiếu,20000,1 kg,2024 / 2025,"July 9th, 2025",Luong Trung Hieu,Catimor,Natural / Dry,7.75,7.67,7.67,7.83,7.92,7.75,10.0,10.0,10.0,84.25,0,0.0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
178,Colombia,Finca Las Acacias - Vereda Juanambu,3-59-02868,Pasto,3-59-02868,Carcafé Ltda,1959,Nariño,Segundo Viveros Santa Cruz,600,30 kg,2024 / 2025,"December 9th, 2024",Maria Paz Villada,Caturra,Washed / Wet,7.83,7.67,7.58,8.08,7.83,7.67,10.0,10.0,10.0,84.25,0,2.0,green,4,"December 9th, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
179,Indonesia,Tabo Coffee,-,dry mill,,TABO COFFEE,1000,SIPIROK,Tabo Coffee,1,2 kg,2024,"December 27th, 2024",Reza Burhanuddin,Sumatra,Washed / Wet,7.67,7.75,7.58,7.58,7.58,7.67,10.0,10.0,10.0,84.17,0,3.0,green,1,"December 27th, 2025",5758 Coffee Lab,"Rusa Pinus Raya E1-D, Jl. Pinus Raya Barat, Gegerkalong, Kota Bandung, Jawa Barat 40153, Indonesia",Adi W. Taroepratjeka - +62-8122021163
180,Taiwan,鄉庭有機咖啡莊園Siang-Ting Organic Farm,2025花蓮縣第九屆精品咖啡評鑑批次,鄉庭有機咖啡莊園Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-170,"Shoufeng Township, Hualien County","張進義JHANG,JIN-YI",1,6 kg,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Natural / Dry,7.58,7.92,7.67,7.67,7.83,7.67,10.0,10.0,10.0,84.17,0,0.0,greenish,0,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
181,Colombia,Various,1,Almacafe S.A. Trilladora,,"King Car Industrial Co., Ltd",1600,HUILA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,550,35 kg,2024,"January 2nd, 2025",KINGCAR,"Castillo, Colombia",Washed / Wet,7.83,7.83,7.67,7.75,7.58,7.75,10.0,10.0,10.0,84.17,0,0.0,yellow- green,0,"January 2nd, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
